,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Performance
363,MS,F,17,U,LE3,T,4,4,at_home,at_home,course,mother,1,2,0,0,1,1,1,1,1,1,1,2,3,4,1,1,1,0,1
31,GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,1
351,MS,M,17,U,GT3,T,3,3,health,other,course,mother,2,2,0,0,1,1,0,1,1,1,0,4,5,4,2,3,3,2,1
80,GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,1,1,1,1,0,1,1,1,3,2,2,1,3,3,2,0
134,GP,M,15,R,GT3,T,3,4,at_home,teacher,course,mother,4,2,0,0,1,0,0,1,1,0,1,5,3,3,1,1,5,0,-1
196,GP,M,17,U,GT3,T,4,4,services,teacher,home,mother,1,1,0,0,0,0,0,1,1,1,0,5,2,3,1,2,5,4,1
322,GP,F,17,R,LE3,T,2,2,services,services,course,mother,1,3,0,0,1,1,1,1,1,1,0,3,3,2,2,2,3,3,0
186,GP,M,16,U,GT3,T,1,2,services,services,other,mother,1,1,0,0,1,1,1,1,1,1,1,3,3,3,1,2,3,2,0
290,GP,M,18,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,0,1,1,1,1,1,1,1,4,3,2,1,4,5,11,0
345,GP,F,18,U,GT3,T,3,2,other,services,other,mother,1,3,0,0,0,0,0,1,1,1,1,5,4,3,2,3,1,7,1
113,GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,1
310,GP,F,19,U,LE3,T,1,2,services,services,home,other,1,2,1,0,0,0,1,0,1,0,1,4,2,4,2,2,3,0,-1
39,GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8,1
161,GP,M,15,R,GT3,T,3,2,other,other,course,mother,2,2,2,1,1,0,0,1,1,1,1,4,4,4,1,4,3,6,-1
35,GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,-1
26,GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,0
327,GP,M,17,R,GT3,T,2,2,services,other,course,mother,4,1,0,0,1,0,0,1,1,1,0,4,4,5,5,5,4,8,0
174,GP,F,16,U,LE3,T,3,3,other,other,reputation,mother,2,2,0,0,1,1,1,1,1,1,0,4,4,5,1,1,4,4,0
316,GP,F,18,U,GT3,T,2,1,services,other,course,mother,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,2,1,0,-1
335,GP,F,17,U,GT3,T,3,4,services,other,course,mother,1,3,0,0,0,0,0,1,1,1,0,4,4,5,1,3,5,16,1
261,GP,M,18,U,GT3,T,4,3,teacher,other,course,mother,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,3,2,-1
102,GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,0,1,0,1,0,1,1,0,5,3,3,1,1,5,4,1
226,GP,F,17,U,GT3,T,3,2,other,other,course,mother,1,2,0,0,0,0,1,0,1,1,0,5,3,4,1,3,3,10,1
270,GP,F,19,U,GT3,T,3,3,other,services,home,other,1,2,2,0,1,1,1,1,1,1,0,4,3,5,3,3,5,15,0
104,GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,0,1,1,1,1,1,1,0,5,4,4,1,1,1,0,1
58,GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,0
90,GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0,-1
255,GP,M,17,U,LE3,T,1,1,health,other,course,mother,2,1,1,0,1,0,1,1,1,1,0,4,4,4,1,2,5,2,-1
185,GP,M,17,U,GT3,T,3,3,services,services,other,mother,1,2,0,0,1,0,1,1,1,1,1,4,3,4,2,3,4,12,0
84,GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,0
259,GP,F,17,U,LE3,T,2,2,services,services,course,father,1,4,0,0,0,1,1,1,1,1,1,3,4,1,1,1,2,0,-1
392,MS,M,21,R,GT3,T,1,1,other,other,course,other,1,1,3,0,0,0,0,0,1,0,0,5,5,3,3,3,3,3,-1
260,GP,F,18,U,GT3,T,4,3,services,other,home,father,1,2,0,0,1,1,0,1,1,1,1,3,1,2,1,3,2,21,1
48,GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,0,1,1,0,1,1,0,0,4,3,3,2,2,5,2,1
264,GP,F,18,U,GT3,T,2,2,at_home,services,home,mother,1,3,0,0,1,1,1,1,1,1,1,4,3,3,1,1,3,0,-1
46,GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,0
73,GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,1
249,GP,M,16,U,GT3,T,0,2,other,other,other,mother,1,1,0,0,0,1,0,0,1,1,0,4,3,2,2,4,5,0,1
368,MS,F,18,U,GT3,T,2,3,at_home,services,course,father,2,1,0,0,1,1,0,1,1,1,1,5,2,3,1,2,4,0,0
14,GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,1
278,GP,F,18,U,GT3,T,4,4,health,health,reputation,father,1,2,1,1,1,0,1,1,1,1,1,2,4,4,1,1,4,15,-1
167,GP,F,16,U,GT3,T,4,2,health,services,home,father,1,2,0,0,0,1,0,1,1,1,1,4,2,3,1,1,3,0,1
302,GP,F,17,U,GT3,T,4,2,other,other,reputation,mother,2,3,0,0,1,1,0,1,1,1,0,4,3,3,1,1,3,0,1
12,GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,1
349,MS,M,18,R,GT3,T,3,2,other,other,course,mother,2,1,1,0,1,0,0,0,1,1,0,2,5,5,5,5,5,10,1
243,GP,M,16,U,GT3,T,4,4,services,services,course,mother,1,1,0,0,0,0,1,1,1,1,0,5,3,2,1,2,5,0,0
24,GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,-1
128,GP,M,18,R,GT3,T,2,2,services,other,reputation,mother,1,1,2,0,1,0,1,1,1,1,0,3,3,3,1,2,4,0,-1
147,GP,F,15,U,GT3,T,1,2,at_home,other,course,mother,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,5,2,0
219,GP,F,17,U,GT3,T,2,2,at_home,at_home,course,mother,1,3,0,0,1,1,1,1,1,1,0,4,3,3,1,1,4,4,0
324,GP,F,17,U,LE3,T,0,2,at_home,at_home,home,father,2,3,0,0,0,0,0,1,1,1,0,3,3,3,2,3,2,0,1
212,GP,F,16,U,GT3,A,2,2,other,other,reputation,mother,1,2,0,1,1,1,0,1,1,1,0,3,3,4,1,1,4,0,1
94,GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,6,1
78,GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2,0
195,GP,F,17,U,LE3,T,2,4,services,services,course,father,1,2,0,0,0,0,1,1,1,1,1,4,3,2,1,1,5,0,1
159,GP,M,16,U,GT3,T,3,3,other,services,course,father,1,2,1,0,1,1,0,1,1,1,1,4,5,5,4,4,5,4,0
213,GP,M,18,U,GT3,T,2,2,services,other,home,mother,1,2,1,0,1,1,1,1,1,1,0,4,4,4,2,4,5,15,-1
114,GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,8,0
83,GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,1
100,GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,1,1,1,1,1,1,1,0,4,5,5,5,5,4,14,-1
321,GP,F,17,U,GT3,T,2,2,other,other,course,mother,1,2,0,0,1,0,0,1,1,0,1,4,2,2,1,1,3,12,0
317,GP,F,18,U,GT3,T,4,3,other,other,course,mother,1,3,0,0,1,1,1,1,1,1,1,4,3,4,1,1,5,9,0
11,GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,0
329,GP,F,17,U,GT3,T,4,4,teacher,teacher,course,mother,2,3,0,0,1,1,0,0,1,1,1,4,3,3,1,2,4,4,1
239,GP,M,18,U,GT3,T,2,2,other,services,reputation,father,1,2,1,0,0,0,0,1,0,1,0,5,5,4,3,5,2,0,-1
209,GP,F,17,R,GT3,T,4,3,teacher,other,reputation,mother,2,3,0,0,1,1,1,1,1,1,1,4,4,2,1,1,4,6,-1
18,GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,-1
76,GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,0
252,GP,M,18,U,GT3,T,2,1,services,services,other,mother,1,1,1,0,0,0,0,0,0,1,0,3,2,5,2,5,5,4,-1
222,GP,F,16,U,GT3,T,2,3,services,teacher,other,mother,1,2,0,1,0,0,0,1,1,1,0,2,3,1,1,1,3,2,1
153,GP,M,19,U,GT3,T,3,2,services,at_home,home,mother,1,1,3,0,1,0,0,1,0,1,1,4,5,4,1,1,4,0,-1
240,GP,M,17,U,LE3,T,4,3,health,other,course,mother,2,2,0,0,0,0,1,1,1,1,1,2,5,5,1,4,5,14,0
236,GP,M,17,U,LE3,T,2,2,other,other,home,father,1,2,0,0,0,1,1,0,1,1,1,4,4,2,5,5,4,4,1
141,GP,M,16,U,LE3,T,2,2,services,services,reputation,father,2,1,2,0,1,0,1,1,1,1,0,2,3,3,2,2,2,8,0
202,GP,F,17,U,GT3,T,1,1,other,other,course,mother,1,2,0,0,1,1,0,0,1,0,0,4,4,4,1,3,1,4,0
304,GP,M,19,U,GT3,T,3,3,other,other,home,other,1,2,1,0,1,0,1,1,1,1,1,4,4,4,1,1,3,20,1
37,GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,1
67,GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4,-1
297,GP,F,18,U,LE3,T,4,3,other,other,home,other,2,2,0,0,1,1,0,1,1,1,1,4,4,5,1,2,2,10,-1
170,GP,M,16,U,GT3,T,3,4,other,other,course,father,3,1,2,0,1,0,1,0,1,1,0,3,4,5,2,4,2,0,-1
311,GP,F,19,U,GT3,T,2,1,at_home,other,other,other,3,2,0,0,1,0,0,1,0,1,1,3,4,1,1,1,2,20,1
105,GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,0
182,GP,F,17,U,GT3,T,2,4,services,services,reputation,father,1,2,0,0,1,0,1,1,1,0,0,5,4,2,2,3,5,0,1
95,GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2,0
325,GP,M,18,U,GT3,T,4,4,other,other,course,mother,1,3,0,0,0,0,1,1,1,1,0,4,3,3,2,2,3,3,0
118,GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,20,-1
336,GP,F,19,R,GT3,A,3,1,services,at_home,home,other,1,3,1,0,0,1,0,1,1,0,0,5,4,3,1,2,5,12,1
110,GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,6,1
97,GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2,0
350,MS,M,19,R,GT3,T,1,1,other,services,home,other,3,2,3,0,0,0,0,1,1,1,0,5,4,4,3,3,2,8,-1
7,GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,-1
144,GP,M,17,U,GT3,T,2,1,other,other,home,mother,1,1,3,0,1,0,0,1,1,1,0,5,4,5,1,2,5,0,-1
155,GP,M,15,R,GT3,T,2,3,at_home,services,course,mother,1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,2,-1
19,GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,0
38,GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,0
176,GP,F,16,U,GT3,T,2,2,services,other,reputation,mother,2,2,0,0,0,1,1,0,1,1,0,3,4,4,1,4,5,2,0
25,GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,-1
326,GP,M,17,U,GT3,T,3,3,other,services,reputation,mother,1,1,0,0,0,0,1,0,1,1,0,4,3,5,3,5,5,3,1
92,GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4,-1
295,GP,M,17,U,GT3,T,3,3,health,other,home,mother,1,1,0,0,1,1,0,1,1,1,0,4,4,3,1,3,5,4,0
303,GP,F,17,U,GT3,T,3,2,health,health,reputation,father,1,4,0,0,1,1,1,0,1,1,0,5,2,2,1,2,5,0,1
343,GP,F,17,U,GT3,A,2,2,at_home,at_home,home,father,1,2,1,0,1,0,0,1,1,1,1,3,3,1,1,2,4,0,-1
308,GP,M,19,R,GT3,T,3,3,other,services,reputation,father,1,2,1,0,0,0,1,1,1,0,1,4,5,3,1,2,5,0,0
357,MS,F,17,U,LE3,A,3,2,services,other,reputation,mother,2,2,0,0,0,0,0,1,1,0,1,1,2,3,1,2,5,2,0
34,GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,1
189,GP,M,17,R,GT3,T,1,2,at_home,other,home,mother,1,2,0,0,0,0,0,1,1,0,0,3,1,3,1,5,3,4,0
112,GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,6,1
224,GP,F,16,U,GT3,T,4,4,teacher,services,home,mother,1,3,0,0,1,0,1,0,1,1,0,5,3,2,1,1,5,0,1
163,GP,M,17,U,GT3,T,1,3,at_home,services,course,father,1,1,0,0,0,0,0,1,0,1,0,5,3,3,1,4,2,2,0
188,GP,F,17,U,GT3,A,3,3,health,other,reputation,mother,1,2,0,0,1,0,0,0,1,1,1,3,3,3,1,3,3,6,0
364,MS,F,17,R,GT3,T,1,2,other,services,course,father,2,2,0,0,0,0,0,0,1,0,0,3,2,2,1,2,3,0,0
140,GP,M,15,U,GT3,T,4,3,teacher,services,course,father,2,4,0,1,1,0,0,1,1,1,0,2,2,2,1,1,3,0,-1
146,GP,F,15,U,GT3,T,3,2,health,services,home,father,1,2,3,0,1,0,0,1,1,1,0,3,3,2,1,1,3,0,-1
386,MS,F,18,R,GT3,T,4,4,teacher,at_home,reputation,mother,3,1,0,0,1,1,1,1,1,1,1,4,4,3,2,2,5,7,-1
281,GP,M,17,U,LE3,A,3,2,teacher,services,home,mother,1,1,1,0,0,0,0,1,1,1,0,4,4,4,3,4,3,19,0
340,GP,F,19,U,GT3,T,2,1,services,services,home,other,1,3,1,0,0,1,1,1,1,1,1,4,3,4,1,3,3,4,0
376,MS,F,20,U,GT3,T,4,2,health,other,course,other,2,3,2,0,1,1,0,0,1,1,1,5,4,3,1,1,3,4,1
1,GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,-1
15,GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,1
60,GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,0
320,GP,F,17,U,GT3,A,4,3,services,services,course,mother,1,2,0,0,1,1,0,1,1,1,1,5,2,2,1,2,5,23,1
280,GP,M,17,U,LE3,A,4,1,services,other,home,mother,2,1,0,0,0,1,1,1,1,1,1,4,5,4,2,4,5,30,-1
109,GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,0,1,1,1,1,1,1,1,5,4,5,1,1,4,4,1
338,GP,F,18,U,LE3,T,3,3,services,services,home,mother,1,4,0,0,1,0,0,1,1,1,0,5,3,3,1,1,1,7,1
372,MS,F,17,U,GT3,T,2,2,other,at_home,home,mother,1,3,0,0,0,0,1,1,1,0,1,3,4,3,1,1,3,8,0
120,GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2,1
133,GP,F,16,U,GT3,A,3,4,services,other,course,father,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,16,0
328,GP,F,17,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,0,1,1,1,1,1,1,0,5,4,4,1,3,4,7,0
380,MS,M,18,U,GT3,T,4,4,teacher,teacher,home,father,1,2,0,0,0,1,1,0,1,1,0,3,2,4,1,4,2,4,1
21,GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,1
250,GP,M,18,U,GT3,T,3,2,services,other,course,mother,2,1,1,0,0,0,0,1,0,1,0,4,4,5,2,4,5,0,-1
98,GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6,1
301,GP,M,17,U,LE3,T,4,4,other,teacher,home,father,2,1,0,0,0,1,0,1,1,1,0,4,1,1,2,2,5,0,0
158,GP,M,16,R,GT3,T,2,2,at_home,other,course,mother,3,1,0,0,0,0,0,0,1,0,0,4,2,2,1,2,3,2,1
